gkz	name	wahlberechtigte	abgegeben	gueltig	spoe	oevp	fpoe	bzoe	gruene	frank	neos	kpoe	pirat	cpoe	wandl	m	euaus	slp	winner
G31228	Stetteldorf am Wagram	850	657	642	120	286	115	11	49	31	26	2	2	0	0	0	0	0	oevp
G31229	Stetten	1038	781	763	273	182	156	20	57	20	47	3	5	0	0	0	0	0	spoe
G31230	Stockerau	12360	8536	8352	2715	1727	1760	244	986	339	448	72	61	0	0	0	0	0	spoe
G31234	Niederhollabrunn	1260	993	971	191	337	194	29	102	51	49	6	12	0	0	0	0	0	oevp
G31235	Gerasdorf bei Wien	8122	5813	5747	1819	1015	1472	181	505	325	326	48	56	0	0	0	0	0	spoe
G31301	Aggsbach	577	428	420	160	112	87	10	23	14	9	4	1	0	0	0	0	0	spoe
G31302	Albrechtsberg an der Großen Krems	886	679	662	183	315	82	6	35	24	9	3	5	0	0	0	0	0	oevp
G31303	Bergern im Dunkelsteinerwald	1058	837	809	190	349	132	18	56	22	30	8	4	0	0	0	0	0	oevp
G31304	Dürnstein	749	605	587	115	254	98	15	59	18	23	5	0	0	0	0	0	0	oevp
G31308	Grafenegg	2434	1913	1857	426	712	313	52	169	91	71	8	15	0	0	0	0	0	oevp
G31309	Furth bei Göttweig	2340	1778	1733	522	529	278	40	185	72	77	13	17	0	0	0	0	0	oevp
G31310	Gedersdorf	1748	1428	1384	432	416	297	31	94	61	42	4	7	0	0	0	0	0	spoe
G31311	Gföhl	3133	2326	2250	540	862	427	56	148	113	80	14	10	0	0	0	0	0	oevp
G31315	Hadersdorf-Kammern	1619	1197	1172	375	304	224	37	98	61	56	5	12	0	0	0	0	0	spoe
G31319	Jaidhof	947	731	711	136	337	118	13	52	23	23	6	3	0	0	0	0	0	oevp
G31321	Krumau am Kamp	647	471	456	104	203	82	5	24	19	11	5	3	0	0	0	0	0	oevp
G31322	Langenlois	6073	4487	4370	911	1451	859	158	496	181	237	27	50	0	0	0	0	0	oevp
G31323	Lengenfeld	1155	923	889	222	304	153	22	81	48	42	6	11	0	0	0	0	0	oevp
G31324	Lichtenau im Waldviertel	1681	1331	1290	220	711	200	22	42	40	28	20	7	0	0	0	0	0	oevp
G31326	Maria Laach am Jauerling	753	580	560	99	283	75	18	46	22	10	4	3	0	0	0	0	0	oevp
G31327	Mautern an der Donau	2801	2021	1975	469	657	370	51	217	75	98	23	15	0	0	0	0	0	oevp
